Spanish,English
de,from
que,that
no,no
a,to
la,the
el,the
y,and
es,it is
en,on
lo,it
un,a
por,by
qué,that
me,I
una,a
los,the
se,I know
te,tea
con,with
para,for
está,is
mi,me
pero,but
sí,Yes
si,Yes
bien,well
eso,that
su,its
las,the
yo,me
del,of the
como,What
aquí,here
tu,your
al,to the
más,plus
le,you
esto,this
todo,everything
ya,already
estoy,am
ahora,now
muy,very
ha,he has
esta,is
así,So
vamos,we go
algo,something
hay,there are
bueno,well
tengo,I have
él,he
cuando,when
estás,these
sé,he
tú,your
nos,us
nada,any
cómo,excuse me
este,this
o,or
he,I
ser,be
tiene,have
puedo,Can I
ella,she
quiero,want
hacer,do
fue,it was
gracias,Thank you
vez,time
era,was
soy,I am
sólo,single
todos,everybody
porque,because
son,are
tienes,you have
creo,I think
voy,go
sabes,you know
estaba,was
puede,may
eres,are
ese,that
usted,you
entonces,then
hola,Hello there
solo,only
verdad,truth
casa,home
tan,so
quién,who
sus,their
tiempo,weather
dos,two
esa,this
nunca,never
dónde,where
va,he
oh,oh
favor,favor
mucho,much
mí,my
quieres,want
siento,I feel
señor,Mister
mejor,better
hace,does
has,you
decir,tell
también,too
sobre,upon
dios,God
sin,without
tenemos,have
están,is it so
ti,you
puedes,you can
ver,watch
hombre,man
vida,life
alguien,somebody
cosas,stuff
siempre,forever
hasta,until
ahí,there
ir,to go
años,years
antes,before
estar,to be
ni,neither
poco,little
día,day
uno,one
noche,evening
hecho,done
mis,my
estamos,we're
otra,other
acuerdo,agreement
trabajo,job
nosotros,U.S
parece,It seems
gente,people
sea,be
padre,dad
mira,sight
mismo,same
dijo,said
nadie,nobody
quiere,wants
podría,could
hablar,talk
vas,you go
ellos,them
sr.,Mr.
tal,such
pasa,pass
fuera,out of
después,after
han,they have
desde,from
dinero,money
mundo,world
claro,Sure
momento,moment
les,them
tener,to have
estado,state
otro,other
había,there was
mañana,morning
tenía,I had
madre,mother
vale,okay
lugar,place
haciendo,doing
donde,where
seguro,safe
sabe,knows
podemos,we can
tus,your
espera,waiting
nuevo,new
sido,been
cosa,thing
hijo,child
allí,there
menos,less
tipo,kind
amigo,friend
gran,big
nuestro,our
mujer,woman
mamá,mother
luego,later
papá,dad
días,days
dice,He says
hoy,today
tres,three
buena,good
necesito,needed
dije,I said
oye,Hey
gusta,like
quería,wanted
será,will be
haber,to have
parte,part
todas,all
crees,think
buen,good
conmigo,with me
nombre,Name
mierda,shit
nuestra,our
mal,wrong
debe,has to
realmente,Really
estas,are
aún,still
mío,Own
toda,all
hacerlo,do it
cada,each
visto,viewed
importa,matters
contigo,with you
tienen,have
hemos,we have
razón,reason
alguna,some
tanto,so much
saber,to know
hizo,did
veces,times
serio,I laughed
ven,come
idea,idea
eh,Hey
tarde,late
problema,trouble
hora,hour
cierto,certain
dicho,saying
quien,who
demasiado,too
amor,love
entre,Come in
ve,go
pasado,last
familia,family
estos,these
policía,policeman
debería,it should
ustedes,you guys
chica,girl
esos,those
chicos,Boys
cuenta,bill
haces,you do
todavía,yet
salir,get out
algún,some
vaya,Wow
unos,some
veo,I see
amigos,friends
hermano,brother
pensé,I thought
sabía,I knew
cabeza,head
ah,ah
cariño,affection
digo,say
van,go
hombres,mens
buenas,good
somos,are
cualquier,any
forma,shape
mientras,While
lado,side
debo,I must
sería,would
caso,case
pueden,may
pasó,step
primera,first
genial,brilliant
chico,guy
supuesto,supposed
hice,I made
pues,then
adiós,bye
muchas,many
personas,persons
señora,Ms
volver,return
esas,those
quizá,maybe
contra,against
camino,path
durante,during
hablando,talking
manera,way
muerto,dead
persona,person
rápido,Quick
cuál,which
ayuda,help
historia,history
iba,I was going
supongo,I suppose
nueva,new
entiendo,I get it
dentro,within
casi,almost
puerta,door
ves,you see
pasar,pass
primero,first
significa,it means
semana,week
hacia,toward
quizás,maybe
espero,wait
juntos,together
año,year
niños,kids
pronto,early
tío,uncle
suerte,luck
ciudad,town
siquiera,at least
feliz,happy
venir,come
hija,daughter
gustaría,would like
minutos,minutes
cuánto,how many
os,you
hey,hey
muerte,death
dejar,let
realidad,reality
deja,leaves
problemas,problems
vi,saw
da,gives
importante,important
dijiste,said
corazón,heart
miedo,afraid
jefe,boss
agua,Water
haré,I will do
justo,just
horas,hours
poder,can
buenos,good ones
esposa,wife
manos,hands
debes,you should
viene,comes
venga,come on
nuestros,our
ojos,eyes
adelante,ahead
encontrar,find
mano,hand
cinco,five
niño,kid
ninguna,none
otros,others
cara,face
cuidado,watch out
bajo,low
cerca,close
viejo,old
déjame,let me
noches,nights
bastante,pretty
fin,end
tomar,take
único,unique
misma,same
escucha,listens
ningún,any
suficiente,enough
punto,point
cuándo,when
sigue,follow
haya,is
equipo,team
grande,big
necesita,needs to
llegar,to get
incluso,even
algunos,Some
doctor,doctor
difícil,hard
aunque,although
hubiera,had
primer,first
coche,car
hago,I make
clase,class
cuatro,four
mas,more
dices,say
pequeño,little
llama,call
toma,taking
hiciste,did
allá,there
última,last
arriba,above
tierra,Earth
guerra,war
pensar,to think
pueda,can
igual,equal
loco,mad
sangre,blood
mujeres,women
vuelta,lap
fui,I was
trabajar,to work
tenido,Dyed
juego,play
deberías,you should
cuerpo,body
e,and
algunas,some
entrar,get in
cree,cree
podía,I could
debemos,must
oportunidad,chance
teléfono,telephone
necesitamos,need
final,final
listo,Ready
fiesta,party
muchos,Many
estabas,you were
quieren,they want
vete,go away
auto,car
dar,give
vivir,to live
posible,possible
ok,okay
hermana,sister
número,number
meses,months
exactamente,exactly
culpa,fault
abajo,down
escuela,school
ido,gone
fuerte,strong
diciendo,saying
habla,speaks
esté,this
ello,it
pregunta,question
chicas,girls
eran,were
unas,nails
pasando,going
atrás,behind
malo,bad
capitán,captain
sra.,Ms.
bebé,baby
segundo,second
sabemos,we know
mayor,higher
comida,meal
morir,To die
conozco,know
dame,give to me
fácil,easy
comer,eat
vino,came
lista,ready
haga,make
necesitas,you need
hijos,sons
probablemente,probably
padres,parents
habitación,bedroom
creer,to believe
pensando,thinking
fueron,They were
dime,tell me
